Compound number (#)	RT (min)	Scan number (#)	Area (Ab*s)	Baseline Heigth (Ab)	Absolute Heigth (Ab)	Peak Width 50% (min)	Hit Number	Hit Name	Quality	Mol Weight (amu)	CAS Number	Library	Entry Number Library
1	1,339	242	6618826	175354	178137	0,053	1	2-Propanone $$ Acetone $$ Methyl ketone $$ (CH3)2CO $$ .beta.-KETOPROPANE $$ 2-PROPANON $$ ACETON $$ ACETON (GERMAN, DUTCH, POLISH) $$ ACETONE (2-PROPANONE) $$ ACETONE (NF) $$ ACETONE OIL $$ ALLYLIC ALCOHOL $$ CHEVRON ACETONE $$ DIMETHYL KETONE	58	58,042	000067-64-1	C:\Database\W10N11_Full.L	737
							2	Ethanol, 2-methoxy-, acetate $$ .beta.-METHOXYETHYL ACETATE $$ 2- methoxyethyl acetate $$ 2-METHOXY-ETHYL ACETAAT $$ 2-METHOXYAETHYLACETAT $$ 2-methoxyethanol, acetate $$ 2-METHOXYETHYL ESTER OF ACETIC ACID $$ 2-methoxyethyl ethanoate $$ EGMEA	39	118,063	000110-49-6	C:\Database\W10N11_Full.L	25673
							3	Acetamide, N-methyl- $$ Methylacetamide $$ Monomethylacetamide $$ N-Methylacetamide $$ CH3CONHCH3 $$ Acetylmethylamine $$ N-Acetyl-N-methylamine $$ X 44	39	73,053	000079-16-3	C:\Database\W10N11_Full.L	2416
2	1,516	279	3100070	96205	100436	0,046	1	Hexane $$ DIPROPYL $$ ESANI $$ EXXSOL HEXANE $$ GETTYSOLVE-B $$ HEKSAN $$ HEXAN $$ HEXANEN $$ HEXYL HYDRIDE $$ N-C6H14 $$ N-HEXANE $$ SKELLYSOLVE B $$ AI3-24253 $$ CCRIS 6247 $$ EINECS 203-777-6 $$ HEXANES $$ HSDB 91 $$ NCI-C60571 $$ NSC 68472	87	86,11	000110-54-3	C:\Database\W10N11_Full.L	5759
							2	Butanal, 2-methyl- $$ Butyraldehyde, 2-methyl- $$ .alpha.-2-METHYL-N-BUTANAL $$ .alpha.-methyl-butanal $$ .alpha.-METHYL-N-BUTANAL $$ .alpha.-METHYLBUTYRALDEHYDE $$ .alpha.-METHYLBUTYRIC ALDEHYDE $$ 2-ETHYLPROPANAL $$ 2-FORMYLBUTANE $$ SEC-C4H9CHO	59	86,073	000096-17-3	C:\Database\W10N11_Full.L	5355
							3	Tetrahydropyran $$ Oxacyclohexane $$ Oxane $$ 2H-Pyran, tetrahydro- $$ Pentamethylene oxide $$ Tetrahydro-2H-pyran $$ THP	43	86,073	000142-68-7	C:\Database\W10N11_Full.L	5374
3	1,587	294	1543015	60600	65414	0,037	1	Methane, trichloro- $$ 1,1,1-TRICHLOROMETHANE $$ CHCL3 $$ CHLOROFORM $$ CHLOROFORM (ACN)(DOT) $$ CHLOROFORME $$ CLOROFORMIO $$ FORMYL TRICHLORIDE $$ FREON 20 $$ METHANE TRICHLORIDE $$ METHENYL CHLORIDE $$ METHENYL TRICHLORIDE $$ METHYL TRICHLORIDE	95	117,914	000067-66-3	C:\Database\W10N11_Full.L	25200
							2	Methane, oxybis[dichloro- $$ DICHLORO(DICHLOROMETHOXY)METHANE $$ bis(chloranyl)methoxy-bis(chloranyl)methane $$ Bis(dichloromethyl) ether $$ Ether, bis(dichloromethyl) $$ METHANE, OXYBIS*DICHLORO- $$ METHANE, OXYBIS@DICHLORO-	83	181,886	020524-86-1	C:\Database\W10N11_Full.L	146871
							3	4-(Acetylacetyl)-5-hydroxy-3-(4'-chlorophenethyl)-1-phenylpyrazole $$ 1-{3-[2-(4-chlorophenyl)ethyl]-5-hydroxy-1-phenyl-1H-pyrazol-4-yl}-1,3-butanedione	78	382,108	2000724-66-9	C:\Database\W10N11_Full.L	724669
4	1,939	368	384417	21789	27116	0,025	1	2-Propanone, 1-hydroxy- $$ Acetol $$ CH3C(O)CH2OH $$ Hydroxyacetone $$ Acetone alcohol $$ Acetylcarbinol $$ Hydroxypropanone $$ Methanol, acetyl- $$ 1-Hydroxy-2-propanone $$ 1-Hydroxyacetone # $$ 1-Hydroxypropan-2-one $$ Hydroxypropan-2-one	40	74,037	000116-09-6	C:\Database\W10N11_Full.L	2673
