Compound number (#)	RT (min)	Scan number (#)	Area (Ab*s)	Baseline Heigth (Ab)	Absolute Heigth (Ab)	Peak Width 50% (min)	Hit Number	Hit Name	Quality	Mol Weight (amu)	CAS Number	Library	Entry Number Library
1	1,306	235	2346309	61103	62622	0,052	1	Acetic acid, sodium salt $$ Sodium acetate	47	82,003	000127-09-3	C:\Database\W10N11_Full.L	3679
							2	Hydroperoxide, 1-methylethyl $$ (CH3)2CHOOH $$ 2-(dioxidanyl)propane $$ 2-hydroperoxypropane $$ ISOPROPYL HYDROPEROXIDE	38	76,052	003031-75-2	C:\Database\W10N11_Full.L	3141
							3	Methyl Isobutyl Ketone $$ 2-Pentanone, 4-methyl- $$ Hexone $$ Isobutyl methyl ketone $$ Isopropylacetone $$ MIBK $$ MIK $$ 2-Methyl-4-pentanone $$ 2-Methylpropyl methyl ketone $$ 4-Methyl-2-oxopentane $$ 4-Methyl-2-pentanone $$ iso-C4H9COCH3	23	100,089	000108-10-1	C:\Database\W10N11_Full.L	11615
2	1,449	265	1090494	36545	38236	0,042	1	Butanenitrile, 2,4,4-trimethoxy- $$ 2,4,4-TRIMETHOXYBUTANENITRILE	64	159,09	112890-36-5	C:\Database\W10N11_Full.L	92181
							2	Propanoic acid, 2-methyl-, tert-butyldimethylsilyl ester $$ tert-Butyl(dimethyl)silyl 2-methylpropanoate $$ tert-Butyl(dimethyl)silyl 2-methylpropanoate (computer-generated name)	38	202,139	111864-21-2	C:\Database\W10N11_Full.L	203935
							3	SILANOL, (1,1-DIMETHYLETHYL)DIMETHYL- $$ SILANOL, TERT-BUTYLDIMETHYL- $$ tert-butyl-dimethyl-oxidanyl-silane $$ TERT-BUTYL-DIMETHYL-SILANOL $$ tert-butyl-hydroxy-dimethyl-silane	38	132,097	018173-64-3	C:\Database\W10N11_Full.L	41939
3	1,515	279	861902	23345	25124	0,048	1	3-Buten-2-one $$ .delta.(SUP 3)-2-BUTENONE $$ .gamma.-OXO-.alpha.-BUTYLENE $$ 1-BUTEN-3-ONE $$ 1-PROPEN-3-ONE $$ 2-BUTENONE $$ 3-BUTEN-2-ON $$ 3-BUTENE-2-ONE $$ 3-BUTENONE-2 $$ 3-OXO-1-BUTENE $$ 3-OXOBUTENE $$ ACETONE, METHYLENE- $$ ACETYL ETHYLENE	53	70,042	000078-94-4	C:\Database\W10N11_Full.L	1711
							2	Cyclopropane, 1,1-dimethyl- $$ 1,1-Dimethylcyclopropane $$ gem-Dimethylcyclopropane	50	70,078	001630-94-0	C:\Database\W10N11_Full.L	1876
							3	2-Pentene, (Z)- $$ (2Z)-2-PENTENE $$ (2E)-2-PENTENE $$ (E)-2-PENTENE $$ (E)-pent-2-ene $$ (Z)-2-PENTENE $$ (Z)-PENT-2-ENE $$ .beta.-AMYLENE-CIS $$ .beta.-N-AMYLENE $$ 2-(E)-C5H10 $$ 2-(Z)-C5H10 $$ 2-PENTENE $$ 2-PENTENE, (2E)- $$ 2-PENTENE, (2Z)-	49	70,078	000627-20-3	C:\Database\W10N11_Full.L	1881
4	2,263	436	239260	15389	18093	0,025	1	2-Methyl-2,3-divinyloxirane	55	110,073	070597-50-1	C:\Database\W10N11_Full.L	17572
