Compound number (#)	RT (min)	Scan number (#)	Area (Ab*s)	Baseline Heigth (Ab)	Absolute Heigth (Ab)	Peak Width 50% (min)	Hit Number	Hit Name	Quality	Mol Weight (amu)	CAS Number	Library	Entry Number Library
1	1,301	234	745206	23836	27729	0,041	1	Methyl Isobutyl Ketone $$ 2-Pentanone, 4-methyl- $$ Hexone $$ Isobutyl methyl ketone $$ Isopropylacetone $$ MIBK $$ MIK $$ 2-Methyl-4-pentanone $$ 2-Methylpropyl methyl ketone $$ 4-Methyl-2-oxopentane $$ 4-Methyl-2-pentanone $$ iso-C4H9COCH3	50	100,089	000108-10-1	C:\Database\W10N11_Full.L	11615
							2	Acetone $$ 2-Propanone $$ .beta.-Ketopropane $$ Dimethyl ketone $$ Dimethylformaldehyde $$ Methyl ketone $$ Propanone $$ Pyroacetic ether $$ (CH3)2CO $$ Dimethylketal $$ Ketone propane $$ Ketone, dimethyl- $$ Chevron acetone $$ UN 1090 $$ Sasetone	42	58,042	000067-64-1	C:\Database\W10N11_Full.L	745
							3	2-PENTANONE, 4-HYDROXY-4-METHYL- $$ (CH3)2C(OH)CH2C(O)CH3 $$ 2-HYDROXY-2-METHYL-4-PENTANONE $$ 2-HYDROXY-2-METHYL-4-PENTANONE (DIACETONE) $$ 2-METHYL-2-PENTANOL-4-ONE $$ 2-METHYL-3-PENTANOL-4-ONE $$ 2-PENTANON, 4-HYDROXY-4-METHYL- $$ DIACETONALCOHOL	9	116,084	000123-42-2	C:\Database\W10N11_Full.L	24067
2	1,425	260	349741	16943	24639	0,028	1	Phosphoramidocyanidic acid, dimethyl-, ethyl ester $$ ETHYL DIMETHYLAMIDOCYANIDOPHOSPHATE $$ DIMETHYLAMIDOETHOXYPHOSPHORYL CYANIDE $$ DIMETHYLAMINOCYANPHOSPHORSAEUREAETHYLESTER $$ DIMETHYLPHOSPHORAMIDOCYANIDIC ACID, ETHYL ESTER $$ GA $$ GELAN I	37	162,056	000077-81-6	C:\Database\W10N11_Full.L	96993
							2	Silanol, trimethyl-, acetate $$ Acetoxytrimethylsilane $$ Trimethylacetoxysilane $$ Trimethylsilyl acetate $$ O-Trimethylsilylacetate $$ (Acetato)trimethylsilane $$ NSC 96780	35	132,061	002754-27-0	C:\Database\W10N11_Full.L	41482
							3	trimethylsilyl ester of acetic acid $$ Acetic acid, trimethylsilyl ester $$ Trimethylsilyl acetate $$ Trimethylsilyl acetate (computer-generated name)	35	132,061	018147-36-9	C:\Database\W10N11_Full.L	41483
3	2,235	430	313269	16098	18741	0,027	1	Bicyclo[4.1.0]heptane, 1-methyl- $$ Norcarane, 1-methyl- $$ 1-METHYLBICYCLO[4.1.0]-HEPTANE $$ 1-METHYLBICYCLO[4.1.0]HEPTANE (1-METHYLNORCARANE) $$ 1-METHYLNORCARANE $$ 6-methylbicyclo[4.1.0]heptane	72	110,11	002439-79-4	C:\Database\W10N11_Full.L	17669
							2	3-ethylhexadiene, octadiene	49	110,11	000000-00-0	C:\Database\W10N11_Full.L	17577
							3	4-OCTYNE $$ 1,2-DIPROPYLACETYLENE $$ DIPROPYLACETYLENE $$ N-C3H7C.$.CC3H7 $$ N-C3H7C=CC3H7 $$ OCT-4-YNE $$ EINECS 217-730-2	46	110,11	001942-45-6	C:\Database\W10N11_Full.L	17691
4	3,044	600	16786479	945088	947015	0,028	1	Cyclotrisiloxane, hexamethyl- $$ Dimethylsiloxane cyclic trimer $$ Hexamethylcyclotrisiloxane $$ CH7260 $$ 2,2,4,4,6,6-Hexamethyl-1,3,5,2,4,6-trioxatrisilinane #	90	222,056	000541-05-9	C:\Database\W10N11_Full.L	264635
