Compound number (#);RT (min);Area (Ab*s);Hit Name;Quality;CAS Number
1;1,306;2346309;Acetic acid, sodium salt $$ Sodium acetate;47;000127-09-3
;;;Hydroperoxide, 1-methylethyl $$ (CH3)2CHOOH $$ 2-(dioxidanyl)propane $$ 2-hydroperoxypropane $$ ISOPROPYL HYDROPEROXIDE;38;003031-75-2
;;;Methyl Isobutyl Ketone $$ 2-Pentanone, 4-methyl- $$ Hexone $$ Isobutyl methyl ketone $$ Isopropylacetone $$ MIBK $$ MIK $$ 2-Methyl-4-pentanone $$ 2-Methylpropyl methyl ketone $$ 4-Methyl-2-oxopentane $$ 4-Methyl-2-pentanone $$ iso-C4H9COCH3;23;000108-10-1
2;1,449;1090494;Butanenitrile, 2,4,4-trimethoxy- $$ 2,4,4-TRIMETHOXYBUTANENITRILE;64;112890-36-5
;;;Propanoic acid, 2-methyl-, tert-butyldimethylsilyl ester $$ tert-Butyl(dimethyl)silyl 2-methylpropanoate $$ tert-Butyl(dimethyl)silyl 2-methylpropanoate (computer-generated name);38;111864-21-2
;;;SILANOL, (1,1-DIMETHYLETHYL)DIMETHYL- $$ SILANOL, TERT-BUTYLDIMETHYL- $$ tert-butyl-dimethyl-oxidanyl-silane $$ TERT-BUTYL-DIMETHYL-SILANOL $$ tert-butyl-hydroxy-dimethyl-silane;38;018173-64-3
3;1,515;861902;3-Buten-2-one $$ .delta.(SUP 3)-2-BUTENONE $$ .gamma.-OXO-.alpha.-BUTYLENE $$ 1-BUTEN-3-ONE $$ 1-PROPEN-3-ONE $$ 2-BUTENONE $$ 3-BUTEN-2-ON $$ 3-BUTENE-2-ONE $$ 3-BUTENONE-2 $$ 3-OXO-1-BUTENE $$ 3-OXOBUTENE $$ ACETONE, METHYLENE- $$ ACETYL ETHYLENE;53;000078-94-4
;;;Cyclopropane, 1,1-dimethyl- $$ 1,1-Dimethylcyclopropane $$ gem-Dimethylcyclopropane;50;001630-94-0
;;;2-Pentene, (Z)- $$ (2Z)-2-PENTENE $$ (2E)-2-PENTENE $$ (E)-2-PENTENE $$ (E)-pent-2-ene $$ (Z)-2-PENTENE $$ (Z)-PENT-2-ENE $$ .beta.-AMYLENE-CIS $$ .beta.-N-AMYLENE $$ 2-(E)-C5H10 $$ 2-(Z)-C5H10 $$ 2-PENTENE $$ 2-PENTENE, (2E)- $$ 2-PENTENE, (2Z)-;49;000627-20-3
4;2,263;239260;2-Methyl-2,3-divinyloxirane;55;070597-50-1
;;;1-Cyclohexene-1-carboxaldehyde $$ .delta.1-TETRAHYDROBENZALDEHYDE $$ 1-CYCLOHEXEN-1-AL $$ 1-cyclohexene-1-carbaldehyde $$ 1-CYCLOHEXENECARBOXALDEHYDE $$ 1-CYCLOHEXENYLALDEHYDE $$ 1-FORMYL-1-CYCLOHEXENE $$ 1-FORMYL-CYCLOHEXENE;53;001192-88-7
